"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"MANF";"MANF#";"MPN";"PROD_ID";"TP_SIGNAL_NAME";"VALUE";
"1";"";"AP7331-WG-7";"SOT-25";"U4";"AP7331-WG-7";" 300mA, LOW QUIESCENT CURRENT, FAST TRANSIENT LOW DROPOUT LINEAR REGULATOR, ADJUSTABLE OUTPUT, 5V to 2.8V, 3.1 x 1.7mm";"DIODES INCORPORATED";"AP7331-WG-7";"";"";"";"";
"1";"";"AR0134CS-ILCC48";"ILCC48_KD";"U1";"AR0134CS-1LCC48-10x10";"1/3-inch 1.2 Mp CMOS digital image sensor with an active-pixel array of 1280 (H) × 960 (V)";"On Semiconductor";"AR0134CSSM00SPCA0";"";"";"";"";
"18";"";"CAP0201100NF";"R0201";"C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C34, C35, C36, C37, C41, C42, C43, C44";"CAP0201 PANASONIC CERAMIC CAPACITOR";"CAP, CERAMIC, 100nF, 10V, X5R, 20%, 0201 ";"PANASONIC";"ECJZEB1A104M ";"";"";"";"";
"1";"";"CAT811";"SOT-143-4";"U6";"CAT811-SOT-143-4";"IC, SUPERVISOR, MICROPROCESSOR POWER SUPPLY, 2.93V, ACTIVE LOW RESET, SOT143-4 ";"On Semiconductor";"CAT811STBI";"";"";"";"";
"1";"";"DF12B(5.0)-50DS-0.5(86)SMT";"DF12B(5.0)-50DS-0.5V(86)";"J1";"DF12B(5.0)-50DS-0.5(86)";"DF12B-50DS-0.5V(86) Hirose Male 50-pin connector";"Hirose";"537-0309-6 86";"";"";"";"";
"1";"";"KC2520B-27MHZ";"2.5X2.0_SMDCRYSTAL";"OSC1";"KC2520B-27MHz-2.5X2.0";"OSC, CRYSTAL CLOCK, SMD, CMOS, 2.25V TO 3.63V, 4mA, 27.0000MHz, 2.5MM x 2.0MM ";"Kyocera";"KC2520B27.0000C2GE00  ";"";"";"";"";
"1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED1";"LED";"";"";"";"";"";"";"";
"4";"";"SLA_MOUNTING";"SLA_MOUNTING";"MTG1, MTG2, MTG3, MTG4";"";"";"";"";"";"";"";"";
"1";"";"SN74AUC1G08";"SOT23-5";"U7";"SN74AUC1G08-SOT23-5";"IC, AND GATE, SINGLE, 2 INPUT POSITIVE, SGL, SOT23-5 ";"Texas Instruments";"SN74AUC1G08DBVR ";"";"";"";"";
"1";"";"SN74AUC1G17";"SOT23-5";"U5";"SN74AUC1G17-SOT23-5";"IC, BUFFER, SINGLE SCHMITT-TRIGGER, 9mA, 0.8V TO 2.7V, SOT23-5 ";"TEXAS INSTRUMENTS";"SN74AUC1G17DBV";"";"";"";"";
